Country,lat,lon
Algeria,28.0000272,2.9999825
Argentina,-34.9964963,-64.9672817
Australia,-24.7761086,134.755
Austria,47.59397,14.12456
Azerbaijan,40.3936294,47.7872508
Bahrain,26.1551249,50.5344606
Bangladesh,24.4769288,90.2934413
Belgium,50.6402809,4.6667145
Bolivia,-17.0568696,-64.9912286
Botswana,-23.1681782,24.5928742
Brunei,4.4137155,114.5653908
Burkina Faso,12.0753083,-1.6880314
Burundi,-3.426449,29.9324519
Canada,61.0666922,-107.991707
Cabo Verde,16.0000552,-24.0083947
Chile,-31.7613365,-71.3187697
China,35.0000663,104.999955
Colombia,4.099917,-72.9088133
Croatia,45.3658443,15.6575209
Cyprus,34.9174159,32.8899027
Czech Republic,49.7439047,15.3381061
Denmark,55.670249,10.3333283
Ecuador,-1.3397668,-79.3666965
El Salvador,13.8000382,-88.9140683
Estonia,58.7523778,25.3319078
Eswatini,-26.5624806,31.3991317
Ethiopia,10.2116702,38.6521203
Fiji,-18.1239696,179.0122737
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
Germany,51.1638175,10.4478313
Ghana,8.0300284,-1.0800271
Greece,38.9953683,21.9877132
Guatemala,15.5855545,-90.345759
Hungary,47.1817585,19.5060937
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.8902853
Iran,32.6475314,54.5643516
Ireland,52.865196,-7.9794599
Italy,42.6384261,12.674297
Jamaica,18.1850507,-77.3947693
Japan,36.5748441,139.2394179
Jordan,44.6663146,-93.6261918
Kenya,1.4419683,38.4313975
South Korea,36.638392,127.6961188
Kuwait,29.3796532,47.9734174
Kyrgyz Republic,41.5089324,74.724091
Lebanon,40.375713,-76.4626118
Lesotho,-29.6039267,28.3350193
Lithuania,55.3500003,23.7499997
Luxembourg,49.6112768,6.129799
Madagascar,-18.9249604,46.4416422
Malaysia,4.5693754,102.2656823
Mauritius,-20.2759451,57.5703566
Mexico,23.6585116,-102.0077097
Moldova,47.2879608,28.5670941
Mongolia,46.8250388,103.8499736
Morocco,28.3347722,-10.3713379
Mozambique,-19.302233,34.9144977
Namibia,-23.2335499,17.3231107
Netherlands,52.2434979,5.6343227
New Zealand,-41.5000831,172.8344077
Nigeria,9.6000359,7.9999721
Norway,64.5731537,11.5280364
Oman,21.0000287,57.0036901
Pakistan,30.3308401,71.247499
Papua New Guinea,-5.6816069,144.2489081
Paraguay,-23.3165935,-58.1693445
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Portugal,39.6621648,-8.1353519
Romania,45.9852129,24.6859225
Rwanda,-1.9646631,30.0644358
Saudi Arabia,24.217621,44.3222148
Senegal,14.4750607,-14.4529612
Seychelles,-4.6574977,55.4540146
Singapore,1.357107,103.8194992
Slovakia,48.7411522,19.4528646
Slovenia,46.1199444,14.8153333
Spain,39.3260685,-4.8379791
Sri Lanka,7.5554942,80.7137847
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Taiwan,23.5983227,120.8353769
Tanzania,-6.5247123,35.7878438
Thailand,14.8971921,100.83273
Tunisia,36.8002068,10.1857757
Ukraine,49.4871968,31.2718321
United Kingdom,54.7023545,-3.2765753
